dialogueId,utteranceNo,authorRole,utterances,politeness,politeness_intensity,politeness_cause
5020,0,agent,Rakshak wishes you a pleasant evening! aaj main aapki madad kaise kar sakata hoon?,polite,3,"Rakshak wishes you a pleasant evening!, main aapki madad kaise kar sakata hoon?"
5020,1,victim,"Hello, please kya koi mujhe assist kar sakata hai?",polite,3,"Hello, please kya koi mujhe assist kar sakata hai?"
5020,2,agent,"Rakshak yahan aapki help ke lie hai. kya main aapka nam aur age jan sakata hoon, please ?  ",polite,3,"Rakshak yahan aapki help ke lie hai, kya main aapka nam aur age jan sakata hoon, please "
5020,3,victim,main <person name> hoon aur main <person age> years old hoon.,neutral,0,
5020,4,agent,"Greetings, <person name>. Please mere sath bani rahen; main yahan aapko assist karane ke lie hoon. Please kya aap mujhe apana issue explain karengi?",polite,3,"Greetings, Please, Please kya aap "
5020,5,victim,main ek banker hoon jisane apana sara paisa kho diya hai. Please mujhe assist karen.,polite,0,please
5020,6,agent,yah sunne men kafi discourage karane vala hai. kya main pooch sakata hoon ki aapne apani saving kaise loose kar di?,polite,3,kya main pooch sakata hoon
5020,7,victim,"jab last week Delhi men main apane pati se baat kar rahi thi, to unhone mera account information aur OTP manga aur phir mere sare paise le lie. baad men, mujhe pata chala ki vah ek con artist tha jisane mere pati ki ID hack karake unaki sari personal information chura li thi.",neutral,0,
5020,8,agent,main is baare men sun kar dukhi hoon. Please kya aap bata sakati hain ki aapko ye experience kab hua?,polite,3,Please kya aap bata sakati hain
5020,9,victim,"yah Thursday, October 17th, 2020 ko hua. ",neutral,0,
5020,10,agent,mujhe informe karane ke lie thank you. kya aap janti hai ki ye person kon hai jisane aapke sath ye kiya?,polite,3,"mujhe informe karane ke lie thank you, kya aap "
5020,11,victim,No way. vah puri tarah se jhutha tha.,impolite,3,
5020,12,agent,"Please patience banae rakhen; undoubtedly aapko assist kiya jaega. yadi aap aur jyada koi unusual activities dekhati hain to, please hume inform karen. ",polite,3,"Please patience banae rakhen, please hume inform karen. "
5020,13,victim,"No, usane bas inquiry ki thi, aur maine reply kiya tha. us samay, main jaldi men thi.",neutral,0,
5020,14,agent,kya aapne financial authorities ko is incident ke bare men inform kiya hai?,neutral,0,kya aapne
5020,15,victim,"Yes, lekin ve claim kar rahe hain ki aapne khud apana secret pin use diya tha.",neutral,0,
5020,16,agent,"main aapke financial setback ke lie dukhi hoon. Information Technology (Amendment) Act, 2008 ki dhara 66D  computer ya online resource ka use karake kisi anya vyakati ki jagah le kar dhokha dena illegal banati hai.",polite,3,
5020,17,victim,"So, main usake against retaliate karane ke lie kya kar sakati hoon? ",neutral,0,
5020,18,agent,"aapke pas legal action lene ka legal right hai, aur agar stalker guilty paya gaya, to use law ke according jurmana aur kaid kiya jaega. kya aap aage badhakar mukadama dayar karana chahati hain? ",polite,3,kya aap
5020,19,victim,"aage badhane se pahale, main isake baare men sochana aur apane husband ki approval lena chahungi.",neutral,0,
5020,20,agent,Please apna samay len aur jab aapko acha lage Rakshak ko call karen.,polite,3,Please apna samay len
5020,21,victim,bhut bhut thank you.,polite,3,bahut bahut dhanyvad.
5020,22,agent,kya aapko mujhse kisi or tarah ke assistance ki jarurat hai?,neutral,0,kya aapko mujhse kisi or tarah ke assistance ki jarurat hai?
5020,23,victim,"Nahi, thank you. Goodbye. ",polite,3,thank you
5020,24,agent,please kisi bhi time Rakshak se contact karne men free feel kare. aapke patience ke lie bahut bahut dhanyvad. aapka din badhiya ho!,polite,3,"Please, aapke patience ke lie bahut bahut dhanyvad, aapka din badhiya ho"
5021,0,agent,Rakshak wishes you a pleasant evening! aaj main aapki madad kaise kar sakata hoon?,polite,3,"Rakshak wishes you a pleasant evening, aaj main aapki madad kaise kar sakata hoon"
5021,1,victim,"Hello, please kya koi mujhe assist kar sakata hai?",polite,3,"Hello, please kya koi mujhe assist kar sakata hai"
5021,2,agent,Rakshak yahan aapko assist karne ke lie hai. Please mujhe apna name aur age bataen.,polite,3,Please mujhe apna name aur age bataen
5021,3,victim,main <person name> hoon aur main <person age> years old hoon.,neutral,0,
